nombre,densidad_normalizada,intensidad_residencial,indice_familia
South Los Angeles,0.3786,0.95,0.7046
Southeast Los Angeles,0.4353,0.95,1.0
Hollywood,0.5554,0.5,0.3754
North Hollywood,0.3134,0.8,0.5908
Van Nuys,0.2728,0.85,0.6831
Mid City,0.3464,0.85,0.5262
Sylmar,0.2631,0.85,0.7108
San Pedro,0.3123,0.6,0.5538
Northridge,0.2936,0.8,0.6215
Woodland Hills,0.0135,0.5,0.5138
Boyle Heights,0.3945,0.9,0.7723
Sherman Oaks,0.2444,0.6,0.4769
Pacoima,0.2444,0.9,0.7538
Koreatown,1.0,0.7,0.0492
Westlake,0.8133,0.7,0.0369
Reseda,0.236,0.9,0.5877
Panorama City,0.4493,0.9,0.7692
Valley Glen,0.3051,0.85,0.5169
North Hills,0.0135,0.9,0.7108
Central City,0.3616,0.1,0.16
Sun Valley,0.2916,0.75,0.4646
Westwood,0.2949,0.5,0.2185
Wilmington,0.2328,0.4,0.8923
Canoga Park,0.3231,0.85,0.6831
Granada Hills,0.0162,0.8,0.7262
Winnetka,0.3022,0.9,0.4554
Highland Park,0.3535,0.85,0.6123
Lake Balboa,0.2492,0.85,0.5846
Downtown,0.0026,0.1,0.0
Mid City West,0.3089,0.7,0.3477
Encino,0.0721,0.5,0.6062
El Sereno,0.2466,0.85,0.5908
Harbor Gateway,0.2467,0.5,0.6831
West Hills,0.0114,0.3,0.5908
Palms,0.4724,0.8,0.5569
Chatsworth,0.2759,0.5,0.6431
Mar Vista,0.2591,0.75,0.5354
Studio City,0.268,0.55,0.8123
Watts,0.4586,0.95,0.8646
Arleta,0.2559,0.7,0.5631
Mid Wilshire,0.2833,0.7,0.4738
Westchester,0.243,0.75,0.6215
Silver Lake,0.256,0.7,0.3015
Tarzana,0.2624,0.5,0.5692
Park Mesa Heights,0.27,0.7,0.5138
Brentwood,0.0149,0.4,0.6892
Sawtelle,0.3409,0.7,0.3262
Del Rey,0.2481,0.75,0.6246
Hollywood Hills,0.0129,0.25,0.5569
Lincoln Heights,0.2817,0.85,0.7015
Eagle Rock,0.235,0.8,0.5877
Jefferson Park,0.3772,0.9,0.6431
Venice,0.2766,0.65,0.2862
Harvard Heights,0.5907,0.9,0.5908
Tujunga,0.283,0.7,0.5385
MacArthur Park,0.2456,0.7,0.4738
Los Feliz,0.2366,0.75,0.4862
Valley Village,0.3121,0.8,0.4985
University Park,0.4327,0.7,0.5508
Harbor City,0.3135,0.5,0.6308
Rampart Village,0.3001,0.7,0.4708
West Adams,0.2902,0.85,0.5046
Central City East,0.2571,0.7,0.4554
Porter Ranch,0.2394,0.4,0.6369
Echo Park,0.2895,0.7,0.3477
Glassell Park,0.2687,0.8,0.4892
Pacific Palisades,0.0732,0.3,0.6492
Mission Hills,0.0128,0.3,0.7138
Pico-Robertson,0.3822,0.7,0.5662
Adams-Normandie,0.469,0.7,0.6431
Mount Washington,0.234,0.7,0.4646
Sunland,0.3088,0.7,0.5631
Pico-Union,0.8047,0.9,0.6892
Playa Del Rey,0.2532,0.7,0.2862
Lakeview Terrace,0.2877,0.7,0.5846
West Los Angeles,0.2133,0.7,0.4431
Cheviot Hills,0.0115,0.3,0.64
Atwater Village,0.2755,0.75,0.4123
Arlington Heights,0.665,0.9,0.6062
Beverly Crest,0.2778,0.7,0.6185
Leimert Park,0.2469,0.9,0.6246
Cypress Park,0.3139,0.85,0.6585
Crestview,0.353,0.7,0.4923
Chinatown,0.4453,0.7,0.5077
Playa Vista,0.2973,0.7,0.6523
Montecito Heights,0.1174,0.7,0.5723
Beverlywood,0.3113,0.7,0.5508
Toluca Lake,0.3075,0.5,0.5077
Crenshaw,0.2821,0.7,0.5662
Bel Air,0.0158,0.2,0.5908
Elysian Valley,0.2386,0.85,0.5446
Century City,0.187,0.7,0.4954
University Hills,0.0107,0.3,0.7108
Shadow Hills,0.0096,0.3,0.7169
Hermon,0.2589,0.7,0.6246
South Carthay,0.4477,0.85,0.7231
La Tuna Canyon,0.0,0.3,0.6
Beverly Glen,0.2543,0.7,0.6277
Elysian Park,0.3019,0.7,0.4708
