nombre,precio_normalizado,precio_alquiler_normalizado,crecimiento_normalizado
South Los Angeles,0.0443,0.1069,0.28
Southeast Los Angeles,0.0235,0.1396,0.25
Hollywood,0.1108,0.1055,0.35
North Hollywood,0.0949,0.1172,0.6
Van Nuys,0.0827,0.0864,0.575
Mid City,0.1989,0.1237,0.1
Sylmar,0.0799,0.1079,0.55
San Pedro,0.0946,0.1371,0.45
Northridge,0.1558,0.1051,0.6
Woodland Hills,0.1992,0.195,0.625
Boyle Heights,0.0401,0.0541,0.325
Sherman Oaks,0.2348,0.1267,0.775
Pacoima,0.0568,0.1586,0.45
Koreatown,0.0763,0.0791,0.18
Westlake,0.0622,0.0557,0.0
Reseda,0.0779,0.1277,0.45
Panorama City,0.05,0.0545,0.5
Valley Glen,0.1406,0.1406,0.595
North Hills,0.0986,0.1116,0.45
Central City,0.0267,0.1519,0.45
Sun Valley,0.0868,0.1053,0.45
Westwood,0.2361,0.2087,0.55
Wilmington,0.0504,0.0826,0.3
Canoga Park,0.0691,0.1132,0.6
Granada Hills,0.136,0.2102,0.55
Winnetka,0.0911,0.1341,0.6
Highland Park,0.1511,0.1282,0.65
Lake Balboa,0.0959,0.0959,0.465
Downtown,0.0193,0.1117,0.11
Mid City West,0.3262,0.1578,0.625
Encino,0.2602,0.2588,0.5
El Sereno,0.0741,0.1255,0.35
Harbor Gateway,0.0799,0.0799,0.625
West Hills,0.144,0.144,0.8
Palms,0.1898,0.1187,0.7
Chatsworth,0.1217,0.1713,0.55
Mar Vista,0.3784,0.149,0.75
Studio City,0.3029,0.3029,0.445
Watts,0.0226,0.1285,0.45
Arleta,0.0748,0.0748,0.445
Mid Wilshire,0.462,0.462,0.81
Westchester,0.2707,0.1419,0.45
Silver Lake,0.26,0.1667,0.45
Tarzana,0.1887,0.1697,0.6
Park Mesa Heights,0.0654,0.0654,0.65
Brentwood,0.6494,0.2536,0.95
Sawtelle,0.1515,0.1621,0.35
Del Rey,0.2147,0.2147,0.4
Hollywood Hills,0.4148,0.1919,0.7
Lincoln Heights,0.0512,0.0873,0.65
Eagle Rock,0.2124,0.1471,0.5
Jefferson Park,0.1012,0.0904,0.0
Venice,0.3763,0.2237,0.7
Harvard Heights,0.1028,0.1028,0.605
Tujunga,0.1134,0.1134,0.4
MacArthur Park,0.0,0.0,0.4
Los Feliz,0.3774,0.1146,0.6
Valley Village,0.2055,0.1218,0.65
University Park,0.1214,0.1214,0.545
Harbor City,0.0785,0.1544,0.4
Rampart Village,0.0206,0.0206,0.11
West Adams,0.1181,0.2058,0.3
Central City East,0.0698,0.0698,0.15
Porter Ranch,0.2143,0.2143,0.38
Echo Park,0.1544,0.1148,0.35
Glassell Park,0.1626,0.1336,0.6
Pacific Palisades,0.7733,0.6344,0.5
Mission Hills,0.087,0.087,0.29
Pico-Robertson,0.2366,0.2366,0.56
Adams-Normandie,0.0922,0.0922,0.31
Mount Washington,0.1899,0.1899,0.21
Sunland,0.0991,0.0991,0.79
Pico-Union,0.0492,0.0492,0.45
Playa Del Rey,0.1763,0.1594,0.5
Lakeview Terrace,0.0979,0.0979,0.51
West Los Angeles,0.2674,0.2674,0.21
Cheviot Hills,0.524,0.524,0.385
Atwater Village,0.2168,0.2168,0.515
Arlington Heights,0.1143,0.1143,0.265
Beverly Crest,0.6354,0.6354,0.57
Leimert Park,0.1381,0.1381,0.375
Cypress Park,0.0922,0.0922,0.435
Crestview,0.2515,0.2515,0.375
Chinatown,0.107,0.107,0.865
Playa Vista,0.2459,0.3021,0.65
Montecito Heights,0.1045,0.1045,0.49
Beverlywood,0.496,0.1745,0.6
Toluca Lake,0.264,0.264,0.28
Crenshaw,0.0495,0.0495,0.66
Bel Air,1.0,1.0,1.0
Elysian Valley,0.1189,0.1189,0.25
Century City,0.2706,0.2706,0.535
University Hills,0.0647,0.0647,0.1
Shadow Hills,0.2036,0.2036,0.225
Hermon,0.1386,0.1386,0.535
South Carthay,0.384,0.384,0.645
La Tuna Canyon,0.2185,0.2185,0.53
Beverly Glen,0.2764,0.2764,0.47
Elysian Park,0.0885,0.0885,0.435
