Barrio,Score_Similitud,SALUT,TRANSPORTE,PRECIO,OCIO,SEGURIDAD,DENSIDAD_POBLACION
South Los Angeles,0.0000,0.0848,0.3750,0.1437,0.3700,0.6143,0.6777
Southeast Los Angeles,0.0000,0.0614,0.1125,0.1377,0.1218,0.3618,0.7951
Hollywood,0.0000,0.0610,0.7375,0.1888,0.6362,0.2740,0.4769
North Hollywood,0.0000,0.1490,0.4250,0.2707,0.3612,0.3512,0.5681
Van Nuys,0.0000,0.1240,0.3750,0.2480,0.1762,0.2100,0.6020
Mid City,0.0000,0.0421,0.3750,0.1409,0.0410,0.3340,0.5742
Sylmar,0.0000,0.1219,0.0750,0.2459,0.1075,0.4721,0.6080
San Pedro,0.0000,0.1949,0.4000,0.2272,0.2598,0.5159,0.4887
Northridge,0.0000,0.1091,0.1250,0.2870,0.1365,0.4060,0.5717
Woodland Hills,0.0000,0.1266,0.2875,0.3397,0.1208,0.4207,0.3424
Boyle Heights,0.0000,0.0817,0.4000,0.1397,0.2320,0.2962,0.6889
Sherman Oaks,0.0000,0.1362,0.4250,0.3788,0.2001,0.1212,0.4404
Pacoima,0.0000,0.1361,0.0750,0.2218,0.0780,0.4204,0.6327
Koreatown,0.0000,0.0431,0.4625,0.1118,0.3508,0.4239,0.5831
Westlake,0.0000,0.0397,0.3625,0.0393,0.0388,0.4000,0.5167
Reseda,0.0000,0.1046,0.3750,0.2185,0.0512,0.2622,0.5746
Panorama City,0.0000,0.1216,0.1125,0.2015,0.0785,0.4829,0.7062
Valley Glen,0.0000,0.1213,0.3500,0.2921,0.0280,0.3885,0.5573
North Hills,0.0000,0.1213,0.0375,0.2201,0.0342,0.4717,0.5414
Central City,0.0000,0.0722,0.4875,0.2095,0.0333,0.6659,0.2072
Sun Valley,0.0000,0.1312,0.0750,0.2140,0.0695,0.3555,0.5021
Westwood,0.0000,0.1159,0.7125,0.3316,0.2365,0.4835,0.3378
Wilmington,0.0000,0.0933,0.3625,0.1443,0.0802,0.3742,0.5084
Canoga Park,0.0000,0.1241,0.3625,0.2608,0.0660,0.3205,0.6187
Granada Hills,0.0000,0.1260,0.0750,0.2987,0.0646,0.3015,0.5141
Winnetka,0.0000,0.1060,0.3625,0.2751,0.0285,0.3432,0.5525
Highland Park,0.0000,0.1802,0.3625,0.3098,0.1306,0.5731,0.6053
Lake Balboa,0.0000,0.1172,0.3625,0.2189,0.0320,0.3567,0.5613
Downtown,0.0000,0.0459,0.7375,0.0803,0.6000,0.4127,0.0342
Mid City West,0.0000,0.1438,0.4750,0.3697,0.2496,0.4036,0.4522
Encino,0.0000,0.2376,0.3625,0.3397,0.1988,0.3030,0.3928
El Sereno,0.0000,0.1313,0.3625,0.1832,0.0802,0.4455,0.5625
Harbor Gateway,0.0000,0.0921,0.3625,0.2616,0.0280,0.3424,0.4766
West Hills,0.0000,0.1382,0.0375,0.3627,0.0833,0.4793,0.3007
Palms,0.0000,0.1097,0.3625,0.3362,0.0382,0.6116,0.6098
Chatsworth,0.0000,0.1048,0.3250,0.2810,0.1091,0.4616,0.4730
Mar Vista,0.0000,0.1313,0.3625,0.4258,0.0325,0.4481,0.5148
Studio City,0.0000,0.1008,0.4250,0.3503,0.0638,0.2954,0.5434
